st_nm,ddl_case_id
Andaman & Nicobar Island,0.0
Arunanchal Pradesh,0.0
Assam,0.0
Bihar,184.0
Chandigarh,0.0
Chhattisgarh,0.0
Dadara & Nagar Havelli,0.0
Daman & Diu,0.0
Goa,0.0
Gujarat,0.0
Haryana,2749.0
Himachal Pradesh,420.0
Jammu & Kashmir,1.0
Jharkhand,44.0
Karnataka,0.0
Kerala,0.0
Lakshadweep,0.0
Madhya Pradesh,0.0
Maharashtra,124.0
Manipur,0.0
Meghalaya,0.0
Mizoram,2.0
Nagaland,0.0
NCT of Delhi,0.0
Puducherry,0.0
Punjab,3039.0
Rajasthan,1088.0
Sikkim,0.0
Tamil Nadu,363.0
Telangana,0.0
Tripura,0.0
Uttar Pradesh,319.0
Uttarakhand,5.0
West Bengal,1504.0
Odisha,28.0
Andhra Pradesh,0.0
