State/Union Territory,2011
Andaman & Nicobar Island,381
Andhra Pradesh,84581
Arunanchal Pradesh,1384
Assam,31206
Bihar,104099
Chandigarh,1055
Chhattisgarh,25545
Dadara & Nagar Havelli,344
Daman & Diu,243
NCT of Delhi,16788
Goa,1459
Gujarat,60440
Haryana,25351
Himachal Pradesh,6865
Jammu & Kashmir,12541
Jharkhand,32988
Karnataka,61095
Kerala,33406
Lakshadweep,64
Madhya Pradesh,72627
Maharashtra,112374
Manipur,2856
Meghalaya,2967
Mizoram,1097
Nagaland,1979
Odisha,41974
Puducherry,1248
Punjab,27743
Rajasthan,68548
Sikkim,611
Tamil Nadu,72147
Tripura,3674
Uttar Pradesh,199812
Uttarakhand,10086
West Bengal,91276
Telangana,84581
